Emotion,Sentence
Sadness,Một bộ phim lấy nước mắt của nhiều người. Nhiều thông điệp trong bộ phim này lắm. Hãy chia sẻ cảm nhận của bạn nhé!
Sadness,Cậu khóc ngon lành khóc như chưa từng được  khóc😅😅😅😅
Enjoyment,Phim kết hay quá
Enjoyment,Cháu nhìn cute quá à!~
Sadness,T đã khóc rất nhiều khi xem phim này 😢😢
Other,6:22 :))?
Other,Ôi ad là Hủ à
Enjoyment,Xem tóm tắt mà cảm nhận được như xem hết bộ phim luôn z
Disgust,Việc tóm tắt phim lm mất đi giá trị
Sadness,Khoc may lan luon a😭😭😭😭😭😭😭😭
Sadness,"Kết cục là họ ko yêu nhau,theo mình những hi sinh to lớn cho nhau như vậy thì nên kết cục bằng tình yêu,tiếc là đây là phim tình bạn nên tác giả lại nghĩ khác"
Other,rồi họ có yêu nhau ko😇😇😢
Other,XXX SO CÔ
Sadness,em không có ai chơi cùng
Sadness,🙁🙁🙁🙁🙁
Sadness,Tôi cũng là người điếc đây! Tôi đang có ny với người nghe nè các bạn 😊
Disgust,"Tóm tắt thế này thì mất hết giá trị hình ảnh của bộ phim này thật,khuyên các bạn nên tự mình cảm nhận bộ phim hơn là xem tóm tắt,vì chúng ta sẽ kh cảm nhận đc hết những gì phim mang lại"
Other,S
Other,Tên phim là gì vậy ạ
Enjoyment,Cái  phim  này  cũng  hay
Other,xd
Other,Chị mình hỏi là phần xúc động ở chỗ nào với ạ ?
Other,Và cảm động
Enjoyment,Phim này xem ý nghĩa
Other,Chị làm về thành gươm diệt quỷ đi
Enjoyment,"Phim đầu tiên ko bị gắn bản quyền
Chiếc máy ảnh của yuzu vẫn có logo nikon( nếu ở trong conan thì sẽ thành licon)
Và chiếc ipad pro 2017 12 inch có giao diện ios 11 trong khi ở conan sẽ là eyepad"
Enjoyment,mấy năm trc cg hay nghe nhạc fim này.Lại cứ kết thúc bài đúng đoạn tóc hồng tự tử.Lại tưởng KO CÓ HẬU😢
Sadness,Cố lên nhỡ đâu  khi bn mở lòng ra  thì .........người ta đã đi rồi thì sao
Sadness,😶😔
Enjoyment,hay nè nha
Sadness,Mỗi lần xem đều rớt nước mắt 💧💧💧
Other,Cho em xin link nhạc với
Sadness,Ai xem bộ này không khóc thì hơi bị nể luôn
Sadness,Bộ anime đầu tiên làm t khóc. Có rất nhiều bộ buồn nhưng để khóc thì đúng mỗi bộ này. Lúc main ngước nhùn mọi người những dào cản được gỡ bỏ thật cảm động.
Disgust,"tóc đen
tóc bạch kim
tóc đỏ
xem xong cái loạn :Đ"
Other,Coi full phim trên anime vietsub
Sadness,😢😢😢
Enjoyment,Phim này hay quá chị ơi
Sadness,Khóc ngon lành :v
Other,Ad review nisekoi đc k ạ
Disgust,2 nhân vật chính bị tự kỷ nha
